{'latitude': 37.63319237, 'longitude': 127.07763917, 'heading': 111.2, 'velocity': 0.0, 'pwml_chk': 1501, 'pwmr_chk': 1499, 'time_difference': 0.2}
{'latitude': 37.63319236, 'longitude': 127.07763915, 'heading': 111.2, 'velocity': 0.0, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.2}
{'latitude': 37.63319237, 'longitude': 127.07763916, 'heading': 111.2, 'velocity': 0.0, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.2}
{'latitude': 37.63319236, 'longitude': 127.07763918, 'heading': 111.2, 'velocity': 0.0, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.2}
{'latitude': 37.63319236, 'longitude': 127.07763917, 'heading': 111.2, 'velocity': 0.0, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.2}
{'latitude': 37.63319238, 'longitude': 127.07763918, 'heading': 111.2, 'velocity': 0.0, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.2}
{'latitude': 37.63319238, 'longitude': 127.07763918, 'heading': 111.2, 'velocity': 0.0, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.0}
{'latitude': 37.63319236, 'longitude': 127.07763918, 'heading': 111.1, 'velocity': 0.0, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.4}
{'latitude': 37.63319237, 'longitude': 127.07763915, 'heading': 111.2, 'velocity': 0.0, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.2}
{'latitude': 37.63319235, 'longitude': 127.07763917, 'heading': 111.0, 'velocity': 0.0, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.2}
{'latitude': 37.63319235, 'longitude': 127.07763918, 'heading': 111.1, 'velocity': 0.0, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.2}
{'latitude': 37.63319234, 'longitude': 127.07763919, 'heading': 111.1, 'velocity': 0.0, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.2}
{'latitude': 37.63319232, 'longitude': 127.07763914, 'heading': 111.1, 'velocity': 0.0, 'pwml_chk': 1529, 'pwmr_chk': 1570, 'time_difference': 0.2}
{'latitude': 37.63319233, 'longitude': 127.07763917, 'heading': 111.2, 'velocity': 0.0, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.2}
{'latitude': 37.63319232, 'longitude': 127.07763915, 'heading': 111.1, 'velocity': 0.0, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.2}
{'latitude': 37.63319234, 'longitude': 127.07763912, 'heading': 111.2, 'velocity': 0.0, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.4}
{'latitude': 37.63319234, 'longitude': 127.07763912, 'heading': 111.2, 'velocity': 0.0, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.0}
{'latitude': 37.63319236, 'longitude': 127.07763912, 'heading': 111.3, 'velocity': 0.0, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.2}
{'latitude': 37.63319235, 'longitude': 127.07763913, 'heading': 111.3, 'velocity': 0.0, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.2}
{'latitude': 37.63319232, 'longitude': 127.07763917, 'heading': 111.3, 'velocity': 0.0, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.4}
{'latitude': 37.63319232, 'longitude': 127.07763918, 'heading': 111.3, 'velocity': 0.0, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.2}
{'latitude': 37.63319232, 'longitude': 127.07763919, 'heading': 111.3, 'velocity': 0.0, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.2}
{'latitude': 37.63319232, 'longitude': 127.07763919, 'heading': 111.3, 'velocity': 0.0, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.0}
{'latitude': 37.63319232, 'longitude': 127.07763919, 'heading': 111.3, 'velocity': 0.0, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.2}
{'latitude': 37.63319234, 'longitude': 127.07763918, 'heading': 111.3, 'velocity': 0.0, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.2}
{'latitude': 37.63319233, 'longitude': 127.07763918, 'heading': 111.3, 'velocity': 0.0, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.2}
{'latitude': 37.63319234, 'longitude': 127.07763914, 'heading': 111.2, 'velocity': 0.0, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.4}
{'latitude': 37.63319236, 'longitude': 127.07763921, 'heading': 111.3, 'velocity': 0.0, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.2}
{'latitude': 37.63319235, 'longitude': 127.07763923, 'heading': 111.4, 'velocity': 0.1, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.2}
{'latitude': 37.63319237, 'longitude': 127.07763915, 'heading': 111.4, 'velocity': 0.1, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.2}
{'latitude': 37.63319236, 'longitude': 127.07763917, 'heading': 111.4, 'velocity': 0.0, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.2}
{'latitude': 37.63319236, 'longitude': 127.07763917, 'heading': 111.4, 'velocity': 0.0, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.2}
{'latitude': 37.63319235, 'longitude': 127.07763924, 'heading': 111.4, 'velocity': 0.0, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.2}
{'latitude': 37.63319235, 'longitude': 127.07763924, 'heading': 111.4, 'velocity': 0.0, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.0}
{'latitude': 37.63319236, 'longitude': 127.07763922, 'heading': 111.4, 'velocity': 0.0, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.2}
{'latitude': 37.63319236, 'longitude': 127.07763915, 'heading': 111.3, 'velocity': 0.1, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.4}
{'latitude': 37.63319228, 'longitude': 127.07763916, 'heading': 111.0, 'velocity': 0.1, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.2}
{'latitude': 37.63319232, 'longitude': 127.07763919, 'heading': 111.0, 'velocity': 0.1, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.2}
{'latitude': 37.63319234, 'longitude': 127.07763916, 'heading': 111.1, 'velocity': 0.0, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.2}
{'latitude': 37.63319234, 'longitude': 127.07763915, 'heading': 111.1, 'velocity': 0.0, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.2}
{'latitude': 37.63319232, 'longitude': 127.07763922, 'heading': 111.2, 'velocity': 0.0, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.2}
{'latitude': 37.63319232, 'longitude': 127.07763922, 'heading': 111.2, 'velocity': 0.0, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.0}
{'latitude': 37.63319234, 'longitude': 127.07763916, 'heading': 111.2, 'velocity': 0.1, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.2}
{'latitude': 37.6331923, 'longitude': 127.07763913, 'heading': 111.1, 'velocity': 0.0, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.4}
{'latitude': 37.6331923, 'longitude': 127.07763913, 'heading': 111.2, 'velocity': 0.1, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.2}
{'latitude': 37.63319235, 'longitude': 127.07763909, 'heading': 111.3, 'velocity': 0.0, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.2}
{'latitude': 37.63319233, 'longitude': 127.07763911, 'heading': 111.3, 'velocity': 0.0, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.2}
{'latitude': 37.63319233, 'longitude': 127.07763911, 'heading': 111.3, 'velocity': 0.0, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.0}
{'latitude': 37.63319227, 'longitude': 127.07763902, 'heading': 110.8, 'velocity': 0.1, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.4}
{'latitude': 37.63319221, 'longitude': 127.07763926, 'heading': 110.8, 'velocity': 0.1, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.2}
{'latitude': 37.63319222, 'longitude': 127.07763916, 'heading': 110.8, 'velocity': 0.2, 'pwml_chk': 1529, 'pwmr_chk': 1570, 'time_difference': 0.2}
{'latitude': 37.63319217, 'longitude': 127.07763927, 'heading': 110.5, 'velocity': 0.1, 'pwml_chk': 1529, 'pwmr_chk': 1570, 'time_difference': 0.2}
{'latitude': 37.63319219, 'longitude': 127.07763939, 'heading': 110.8, 'velocity': 0.1, 'pwml_chk': 1529, 'pwmr_chk': 1570, 'time_difference': 0.2}
{'latitude': 37.63319215, 'longitude': 127.07763944, 'heading': 110.5, 'velocity': 0.0, 'pwml_chk': 1529, 'pwmr_chk': 1570, 'time_difference': 0.2}
{'latitude': 37.63319215, 'longitude': 127.07763944, 'heading': 110.5, 'velocity': 0.0, 'pwml_chk': 1529, 'pwmr_chk': 1570, 'time_difference': 0.0}
{'latitude': 37.63319203, 'longitude': 127.07763961, 'heading': 110.0, 'velocity': 0.2, 'pwml_chk': 1529, 'pwmr_chk': 1570, 'time_difference': 0.4}
{'latitude': 37.63319169, 'longitude': 127.07763971, 'heading': 106.9, 'velocity': 0.4, 'pwml_chk': 1529, 'pwmr_chk': 1570, 'time_difference': 0.2}
{'latitude': 37.63319126, 'longitude': 127.07763963, 'heading': 103.7, 'velocity': 0.5, 'pwml_chk': 1529, 'pwmr_chk': 1570, 'time_difference': 0.2}
{'latitude': 37.63319099, 'longitude': 127.07763967, 'heading': 101.5, 'velocity': 0.2, 'pwml_chk': 1529, 'pwmr_chk': 1570, 'time_difference': 0.2}
{'latitude': 37.63319081, 'longitude': 127.07763963, 'heading': 100.1, 'velocity': 0.1, 'pwml_chk': 1530, 'pwmr_chk': 1569, 'time_difference': 0.2}
{'latitude': 37.63319081, 'longitude': 127.07763963, 'heading': 100.1, 'velocity': 0.1, 'pwml_chk': 1532, 'pwmr_chk': 1567, 'time_difference': 0.0}
{'latitude': 37.63319058, 'longitude': 127.07763973, 'heading': 98.1, 'velocity': 0.1, 'pwml_chk': 1533, 'pwmr_chk': 1566, 'time_difference': 0.4}
{'latitude': 37.63319057, 'longitude': 127.07763967, 'heading': 98.5, 'velocity': 0.2, 'pwml_chk': 1534, 'pwmr_chk': 1565, 'time_difference': 0.2}
{'latitude': 37.63319059, 'longitude': 127.07763972, 'heading': 98.6, 'velocity': 0.0, 'pwml_chk': 1534, 'pwmr_chk': 1565, 'time_difference': 0.2}
{'latitude': 37.63319047, 'longitude': 127.07763973, 'heading': 97.6, 'velocity': 0.2, 'pwml_chk': 1535, 'pwmr_chk': 1564, 'time_difference': 0.2}
{'latitude': 37.63319027, 'longitude': 127.0776398, 'heading': 95.9, 'velocity': 0.3, 'pwml_chk': 1535, 'pwmr_chk': 1564, 'time_difference': 0.2}
{'latitude': 37.63318998, 'longitude': 127.07763929, 'heading': 92.0, 'velocity': 0.2, 'pwml_chk': 1535, 'pwmr_chk': 1564, 'time_difference': 0.4}
{'latitude': 37.63318985, 'longitude': 127.07763937, 'heading': 91.1, 'velocity': 0.1, 'pwml_chk': 1535, 'pwmr_chk': 1564, 'time_difference': 0.2}
{'latitude': 37.63318985, 'longitude': 127.07763937, 'heading': 91.1, 'velocity': 0.1, 'pwml_chk': 1535, 'pwmr_chk': 1564, 'time_difference': 0.0}
{'latitude': 37.63318993, 'longitude': 127.07763931, 'heading': 91.6, 'velocity': 0.2, 'pwml_chk': 1535, 'pwmr_chk': 1564, 'time_difference': 0.2}
{'latitude': 37.63318994, 'longitude': 127.07763928, 'heading': 91.7, 'velocity': 0.0, 'pwml_chk': 1535, 'pwmr_chk': 1564, 'time_difference': 0.2}
{'latitude': 37.63318996, 'longitude': 127.07763934, 'heading': 91.6, 'velocity': 0.0, 'pwml_chk': 1535, 'pwmr_chk': 1564, 'time_difference': 0.2}
{'latitude': 37.63318998, 'longitude': 127.07763932, 'heading': 91.8, 'velocity': 0.0, 'pwml_chk': 1535, 'pwmr_chk': 1564, 'time_difference': 0.2}
{'latitude': 37.63319, 'longitude': 127.07763931, 'heading': 91.8, 'velocity': 0.2, 'pwml_chk': 1538, 'pwmr_chk': 1561, 'time_difference': 0.4}
{'latitude': 37.63319, 'longitude': 127.07763931, 'heading': 91.8, 'velocity': 0.2, 'pwml_chk': 1538, 'pwmr_chk': 1561, 'time_difference': 0.0}
{'latitude': 37.63319005, 'longitude': 127.07763926, 'heading': 91.9, 'velocity': 0.0, 'pwml_chk': 1538, 'pwmr_chk': 1561, 'time_difference': 0.2}
{'latitude': 37.63319002, 'longitude': 127.0776393, 'heading': 91.8, 'velocity': 0.1, 'pwml_chk': 1538, 'pwmr_chk': 1561, 'time_difference': 0.2}
{'latitude': 37.63319, 'longitude': 127.0776393, 'heading': 91.7, 'velocity': 0.0, 'pwml_chk': 1538, 'pwmr_chk': 1561, 'time_difference': 0.2}
{'latitude': 37.63318995, 'longitude': 127.07763934, 'heading': 91.6, 'velocity': 0.0, 'pwml_chk': 1538, 'pwmr_chk': 1561, 'time_difference': 0.2}
{'latitude': 37.63318981, 'longitude': 127.07763941, 'heading': 91.1, 'velocity': 0.1, 'pwml_chk': 1538, 'pwmr_chk': 1561, 'time_difference': 0.4}
{'latitude': 37.63318977, 'longitude': 127.07763945, 'heading': 91.2, 'velocity': 0.0, 'pwml_chk': 1538, 'pwmr_chk': 1561, 'time_difference': 0.2}
{'latitude': 37.63318973, 'longitude': 127.07763952, 'heading': 91.1, 'velocity': 0.0, 'pwml_chk': 1539, 'pwmr_chk': 1560, 'time_difference': 0.2}
{'latitude': 37.63318973, 'longitude': 127.07763949, 'heading': 91.1, 'velocity': 0.1, 'pwml_chk': 1539, 'pwmr_chk': 1560, 'time_difference': 0.2}
{'latitude': 37.63318974, 'longitude': 127.07763943, 'heading': 90.9, 'velocity': 0.1, 'pwml_chk': 1539, 'pwmr_chk': 1560, 'time_difference': 0.2}
{'latitude': 37.63318969, 'longitude': 127.07763942, 'heading': 90.1, 'velocity': 0.2, 'pwml_chk': 1539, 'pwmr_chk': 1560, 'time_difference': 0.2}
{'latitude': 37.63318969, 'longitude': 127.07763942, 'heading': 90.1, 'velocity': 0.2, 'pwml_chk': 1539, 'pwmr_chk': 1560, 'time_difference': 0.0}
{'latitude': 37.63318929, 'longitude': 127.07763964, 'heading': 87.4, 'velocity': 0.5, 'pwml_chk': 1539, 'pwmr_chk': 1560, 'time_difference': 0.2}
{'latitude': 37.63318874, 'longitude': 127.07763987, 'heading': 82.6, 'velocity': 0.2, 'pwml_chk': 1539, 'pwmr_chk': 1560, 'time_difference': 0.4}
{'latitude': 37.63318867, 'longitude': 127.07763987, 'heading': 81.8, 'velocity': 0.0, 'pwml_chk': 1539, 'pwmr_chk': 1560, 'time_difference': 0.2}
{'latitude': 37.63318881, 'longitude': 127.07763975, 'heading': 82.8, 'velocity': 0.3, 'pwml_chk': 1541, 'pwmr_chk': 1558, 'time_difference': 0.2}
{'latitude': 37.63318881, 'longitude': 127.07763969, 'heading': 82.4, 'velocity': 0.1, 'pwml_chk': 1541, 'pwmr_chk': 1558, 'time_difference': 0.2}
{'latitude': 37.6331888, 'longitude': 127.07763966, 'heading': 82.4, 'velocity': 0.0, 'pwml_chk': 1541, 'pwmr_chk': 1558, 'time_difference': 0.2}
{'latitude': 37.63318875, 'longitude': 127.0776397, 'heading': 82.2, 'velocity': 0.0, 'pwml_chk': 1541, 'pwmr_chk': 1558, 'time_difference': 0.2}
{'latitude': 37.63318875, 'longitude': 127.0776397, 'heading': 82.3, 'velocity': 0.1, 'pwml_chk': 1541, 'pwmr_chk': 1558, 'time_difference': 0.2}
{'latitude': 37.63318875, 'longitude': 127.0776397, 'heading': 82.3, 'velocity': 0.1, 'pwml_chk': 1541, 'pwmr_chk': 1558, 'time_difference': 0.0}
{'latitude': 37.63318876, 'longitude': 127.07763988, 'heading': 82.6, 'velocity': 0.1, 'pwml_chk': 1541, 'pwmr_chk': 1558, 'time_difference': 0.4}
{'latitude': 37.63318882, 'longitude': 127.07763981, 'heading': 82.8, 'velocity': 0.0, 'pwml_chk': 1541, 'pwmr_chk': 1558, 'time_difference': 0.2}
{'latitude': 37.63318885, 'longitude': 127.0776398, 'heading': 83.0, 'velocity': 0.1, 'pwml_chk': 1543, 'pwmr_chk': 1556, 'time_difference': 0.2}
{'latitude': 37.63318888, 'longitude': 127.07763976, 'heading': 83.1, 'velocity': 0.0, 'pwml_chk': 1543, 'pwmr_chk': 1556, 'time_difference': 0.2}
{'latitude': 37.63318889, 'longitude': 127.07763973, 'heading': 83.0, 'velocity': 0.0, 'pwml_chk': 1543, 'pwmr_chk': 1556, 'time_difference': 0.2}
{'latitude': 37.63318889, 'longitude': 127.07763973, 'heading': 83.0, 'velocity': 0.0, 'pwml_chk': 1543, 'pwmr_chk': 1556, 'time_difference': 0.0}
{'latitude': 37.63318884, 'longitude': 127.07763982, 'heading': 83.1, 'velocity': 0.1, 'pwml_chk': 1543, 'pwmr_chk': 1556, 'time_difference': 0.4}
{'latitude': 37.63318879, 'longitude': 127.07763987, 'heading': 83.4, 'velocity': 0.1, 'pwml_chk': 1543, 'pwmr_chk': 1556, 'time_difference': 0.2}
{'latitude': 37.63318877, 'longitude': 127.07763987, 'heading': 83.2, 'velocity': 0.0, 'pwml_chk': 1543, 'pwmr_chk': 1556, 'time_difference': 0.2}
{'latitude': 37.63318876, 'longitude': 127.07763986, 'heading': 83.1, 'velocity': 0.0, 'pwml_chk': 1543, 'pwmr_chk': 1556, 'time_difference': 0.2}
{'latitude': 37.6331887, 'longitude': 127.07763989, 'heading': 82.5, 'velocity': 0.1, 'pwml_chk': 1543, 'pwmr_chk': 1556, 'time_difference': 0.2}
{'latitude': 37.6331887, 'longitude': 127.07763989, 'heading': 82.5, 'velocity': 0.1, 'pwml_chk': 1543, 'pwmr_chk': 1556, 'time_difference': 0.0}
{'latitude': 37.63318852, 'longitude': 127.07763991, 'heading': 80.7, 'velocity': 0.1, 'pwml_chk': 1543, 'pwmr_chk': 1556, 'time_difference': 0.4}
{'latitude': 37.63318841, 'longitude': 127.07763993, 'heading': 79.7, 'velocity': 0.1, 'pwml_chk': 1543, 'pwmr_chk': 1556, 'time_difference': 0.2}
{'latitude': 37.63318829, 'longitude': 127.07764001, 'heading': 78.6, 'velocity': 0.1, 'pwml_chk': 1543, 'pwmr_chk': 1556, 'time_difference': 0.2}
{'latitude': 37.63318829, 'longitude': 127.07764, 'heading': 78.6, 'velocity': 0.1, 'pwml_chk': 1544, 'pwmr_chk': 1555, 'time_difference': 0.2}
{'latitude': 37.63318833, 'longitude': 127.07764001, 'heading': 78.9, 'velocity': 0.1, 'pwml_chk': 1544, 'pwmr_chk': 1555, 'time_difference': 0.2}
{'latitude': 37.63318832, 'longitude': 127.07763998, 'heading': 78.8, 'velocity': 0.0, 'pwml_chk': 1545, 'pwmr_chk': 1554, 'time_difference': 0.2}
{'latitude': 37.63318832, 'longitude': 127.07763998, 'heading': 78.8, 'velocity': 0.0, 'pwml_chk': 1545, 'pwmr_chk': 1554, 'time_difference': 0.0}
{'latitude': 37.63318833, 'longitude': 127.07763995, 'heading': 78.7, 'velocity': 0.0, 'pwml_chk': 1545, 'pwmr_chk': 1554, 'time_difference': 0.4}
{'latitude': 37.63318837, 'longitude': 127.07763999, 'heading': 78.8, 'velocity': 0.1, 'pwml_chk': 1545, 'pwmr_chk': 1554, 'time_difference': 0.2}
{'latitude': 37.63318838, 'longitude': 127.07764001, 'heading': 79.0, 'velocity': 0.0, 'pwml_chk': 1545, 'pwmr_chk': 1554, 'time_difference': 0.2}
{'latitude': 37.63318831, 'longitude': 127.07763995, 'heading': 78.6, 'velocity': 0.0, 'pwml_chk': 1545, 'pwmr_chk': 1554, 'time_difference': 0.4}
{'latitude': 37.63318831, 'longitude': 127.07763995, 'heading': 78.6, 'velocity': 0.0, 'pwml_chk': 1545, 'pwmr_chk': 1554, 'time_difference': 0.0}
{'latitude': 37.63318829, 'longitude': 127.07763994, 'heading': 78.6, 'velocity': 0.0, 'pwml_chk': 1546, 'pwmr_chk': 1553, 'time_difference': 0.2}
{'latitude': 37.63318833, 'longitude': 127.07763995, 'heading': 78.8, 'velocity': 0.1, 'pwml_chk': 1546, 'pwmr_chk': 1553, 'time_difference': 0.2}
{'latitude': 37.63318843, 'longitude': 127.07763992, 'heading': 79.0, 'velocity': 0.1, 'pwml_chk': 1546, 'pwmr_chk': 1553, 'time_difference': 0.2}
{'latitude': 37.63318832, 'longitude': 127.07763986, 'heading': 78.6, 'velocity': 0.1, 'pwml_chk': 1546, 'pwmr_chk': 1553, 'time_difference': 0.2}
{'latitude': 37.63318829, 'longitude': 127.07763984, 'heading': 78.4, 'velocity': 0.0, 'pwml_chk': 1546, 'pwmr_chk': 1553, 'time_difference': 0.2}
{'latitude': 37.63318831, 'longitude': 127.07763984, 'heading': 78.4, 'velocity': 0.0, 'pwml_chk': 1545, 'pwmr_chk': 1554, 'time_difference': 0.4}
