{'latitude': 37.63322473, 'longitude': 127.07766046, 'heading': 104.9, 'velocity': 0.1, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'time_difference': 0}
{'latitude': 37.63322276, 'longitude': 127.07765963, 'heading': 95.2, 'velocity': 0.1, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'time_difference': 0.2}
{'latitude': 37.63322269, 'longitude': 127.07765961, 'heading': 95.6, 'velocity': 0.1, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'time_difference': 0.2}
{'latitude': 37.63322263, 'longitude': 127.0776596, 'heading': 96.0, 'velocity': 0.1, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'time_difference': 0.2}
{'latitude': 37.63322263, 'longitude': 127.0776596, 'heading': 96.0, 'velocity': 0.1, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'time_difference': 0.0}
{'latitude': 37.63322259, 'longitude': 127.07765966, 'heading': 96.8, 'velocity': 0.0, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'time_difference': 0.4}
{'latitude': 37.63322253, 'longitude': 127.07765967, 'heading': 97.0, 'velocity': 0.1, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'time_difference': 0.2}
{'latitude': 37.63322247, 'longitude': 127.07765968, 'heading': 96.9, 'velocity': 0.1, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'time_difference': 0.2}
{'latitude': 37.63322239, 'longitude': 127.07765975, 'heading': 96.7, 'velocity': 0.1, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'time_difference': 0.2}
{'latitude': 37.63322233, 'longitude': 127.07765984, 'heading': 96.7, 'velocity': 0.1, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'time_difference': 0.2}
{'latitude': 37.63322233, 'longitude': 127.07765984, 'heading': 96.7, 'velocity': 0.1, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'time_difference': 0.0}
{'latitude': 37.6332223, 'longitude': 127.07765991, 'heading': 96.7, 'velocity': 0.1, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'time_difference': 0.2}
{'latitude': 37.63322222, 'longitude': 127.07765989, 'heading': 96.9, 'velocity': 0.1, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'time_difference': 0.2}
{'latitude': 37.63322222, 'longitude': 127.07765989, 'heading': 96.8, 'velocity': 0.1, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'time_difference': 0.4}
{'latitude': 37.6332222, 'longitude': 127.07765993, 'heading': 96.8, 'velocity': 0.0, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'time_difference': 0.2}
{'latitude': 37.63322222, 'longitude': 127.07765991, 'heading': 96.9, 'velocity': 0.0, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'time_difference': 0.2}
{'latitude': 37.63322219, 'longitude': 127.07765993, 'heading': 96.9, 'velocity': 0.1, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'time_difference': 0.2}
{'latitude': 37.63322217, 'longitude': 127.07765997, 'heading': 96.9, 'velocity': 0.1, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'time_difference': 0.2}
{'latitude': 37.63322216, 'longitude': 127.07765998, 'heading': 97.0, 'velocity': 0.1, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'time_difference': 0.2}
{'latitude': 37.63322216, 'longitude': 127.07765998, 'heading': 97.0, 'velocity': 0.1, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'time_difference': 0.0}
{'latitude': 37.63322219, 'longitude': 127.07765999, 'heading': 97.1, 'velocity': 0.0, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'time_difference': 0.2}
{'latitude': 37.63322219, 'longitude': 127.07765994, 'heading': 97.1, 'velocity': 0.0, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'time_difference': 0.2}
{'latitude': 37.63322223, 'longitude': 127.07765986, 'heading': 97.2, 'velocity': 0.1, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'time_difference': 0.2}
{'latitude': 37.63322218, 'longitude': 127.07765985, 'heading': 97.2, 'velocity': 0.1, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'time_difference': 0.4}
{'latitude': 37.63322219, 'longitude': 127.07765982, 'heading': 97.3, 'velocity': 0.1, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'time_difference': 0.2}
{'latitude': 37.6332222, 'longitude': 127.07765986, 'heading': 97.4, 'velocity': 0.0, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'time_difference': 0.2}
{'latitude': 37.63322217, 'longitude': 127.07765989, 'heading': 97.5, 'velocity': 0.1, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'time_difference': 0.2}
{'latitude': 37.63322213, 'longitude': 127.07765989, 'heading': 97.6, 'velocity': 0.0, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'time_difference': 0.2}
{'latitude': 37.63322213, 'longitude': 127.07765989, 'heading': 97.7, 'velocity': 0.1, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'time_difference': 0.2}
{'latitude': 37.63322213, 'longitude': 127.07765991, 'heading': 97.9, 'velocity': 0.0, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'time_difference': 0.2}
{'latitude': 37.63322211, 'longitude': 127.07765995, 'heading': 98.0, 'velocity': 0.0, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'time_difference': 0.2}
{'latitude': 37.63322211, 'longitude': 127.07765995, 'heading': 98.0, 'velocity': 0.0, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'time_difference': 0.0}
{'latitude': 37.63322211, 'longitude': 127.07765993, 'heading': 98.3, 'velocity': 0.0, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'time_difference': 0.4}
{'latitude': 37.6332221, 'longitude': 127.0776599, 'heading': 98.3, 'velocity': 0.0, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'time_difference': 0.2}
{'latitude': 37.63322211, 'longitude': 127.07765992, 'heading': 98.5, 'velocity': 0.0, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'time_difference': 0.2}
{'latitude': 37.63322208, 'longitude': 127.07765988, 'heading': 98.6, 'velocity': 0.0, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'time_difference': 0.2}
{'latitude': 37.63322205, 'longitude': 127.07765988, 'heading': 98.6, 'velocity': 0.0, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'time_difference': 0.2}
{'latitude': 37.63322202, 'longitude': 127.0776599, 'heading': 98.6, 'velocity': 0.0, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'time_difference': 0.2}
{'latitude': 37.633222, 'longitude': 127.07765991, 'heading': 98.7, 'velocity': 0.0, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'time_difference': 0.2}
{'latitude': 37.63322196, 'longitude': 127.07765994, 'heading': 98.8, 'velocity': 0.0, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'time_difference': 0.4}
{'latitude': 37.63322194, 'longitude': 127.07765992, 'heading': 98.9, 'velocity': 0.0, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'time_difference': 0.2}
{'latitude': 37.63322194, 'longitude': 127.07765992, 'heading': 98.9, 'velocity': 0.0, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'time_difference': 0.0}
{'latitude': 37.63322192, 'longitude': 127.07765994, 'heading': 99.0, 'velocity': 0.0, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'time_difference': 0.2}
{'latitude': 37.63322189, 'longitude': 127.07765994, 'heading': 99.0, 'velocity': 0.0, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'time_difference': 0.2}
{'latitude': 37.63322186, 'longitude': 127.07765994, 'heading': 99.0, 'velocity': 0.0, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'time_difference': 0.2}
{'latitude': 37.63322183, 'longitude': 127.07765994, 'heading': 99.1, 'velocity': 0.0, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'time_difference': 0.2}
{'latitude': 37.63322179, 'longitude': 127.07765997, 'heading': 99.1, 'velocity': 0.1, 'pwml_chk': 1566, 'pwmr_chk': 1583, 'time_difference': 0.2}
{'latitude': 37.63322178, 'longitude': 127.07765998, 'heading': 99.2, 'velocity': 0.0, 'pwml_chk': 1566, 'pwmr_chk': 1583, 'time_difference': 0.2}
{'latitude': 37.63322173, 'longitude': 127.07765996, 'heading': 99.3, 'velocity': 0.1, 'pwml_chk': 1566, 'pwmr_chk': 1583, 'time_difference': 0.2}
{'latitude': 37.63322162, 'longitude': 127.07766017, 'heading': 99.3, 'velocity': 0.2, 'pwml_chk': 1566, 'pwmr_chk': 1583, 'time_difference': 0.4}
{'latitude': 37.63322153, 'longitude': 127.0776604, 'heading': 99.2, 'velocity': 0.3, 'pwml_chk': 1566, 'pwmr_chk': 1583, 'time_difference': 0.2}
{'latitude': 37.63322153, 'longitude': 127.0776604, 'heading': 99.2, 'velocity': 0.3, 'pwml_chk': 1563, 'pwmr_chk': 1586, 'time_difference': 0.0}
{'latitude': 37.63322144, 'longitude': 127.07766069, 'heading': 99.1, 'velocity': 0.3, 'pwml_chk': 1563, 'pwmr_chk': 1586, 'time_difference': 0.2}
{'latitude': 37.63322135, 'longitude': 127.07766106, 'heading': 98.9, 'velocity': 0.4, 'pwml_chk': 1563, 'pwmr_chk': 1586, 'time_difference': 0.2}
{'latitude': 37.63322124, 'longitude': 127.07766151, 'heading': 98.8, 'velocity': 0.4, 'pwml_chk': 1564, 'pwmr_chk': 1585, 'time_difference': 0.2}
{'latitude': 37.63322103, 'longitude': 127.07766265, 'heading': 97.8, 'velocity': 0.5, 'pwml_chk': 1565, 'pwmr_chk': 1584, 'time_difference': 0.4}
{'latitude': 37.63322089, 'longitude': 127.07766326, 'heading': 97.6, 'velocity': 0.5, 'pwml_chk': 1566, 'pwmr_chk': 1583, 'time_difference': 0.2}
{'latitude': 37.63322075, 'longitude': 127.07766392, 'heading': 97.0, 'velocity': 0.7, 'pwml_chk': 1566, 'pwmr_chk': 1583, 'time_difference': 0.2}
{'latitude': 37.63322066, 'longitude': 127.07766462, 'heading': 96.6, 'velocity': 0.6, 'pwml_chk': 1572, 'pwmr_chk': 1577, 'time_difference': 0.2}
{'latitude': 37.63322066, 'longitude': 127.07766462, 'heading': 96.6, 'velocity': 0.6, 'pwml_chk': 1573, 'pwmr_chk': 1576, 'time_difference': 0.0}
{'latitude': 37.63322054, 'longitude': 127.07766544, 'heading': 96.3, 'velocity': 0.8, 'pwml_chk': 1579, 'pwmr_chk': 1570, 'time_difference': 0.2}
{'latitude': 37.63322039, 'longitude': 127.07766627, 'heading': 96.0, 'velocity': 0.8, 'pwml_chk': 1579, 'pwmr_chk': 1570, 'time_difference': 0.2}
{'latitude': 37.6332203, 'longitude': 127.07766723, 'heading': 95.9, 'velocity': 0.8, 'pwml_chk': 1581, 'pwmr_chk': 1568, 'time_difference': 0.2}
{'latitude': 37.63322011, 'longitude': 127.07766912, 'heading': 95.6, 'velocity': 0.8, 'pwml_chk': 1583, 'pwmr_chk': 1566, 'time_difference': 0.4}
{'latitude': 37.63322011, 'longitude': 127.07766912, 'heading': 95.6, 'velocity': 0.8, 'pwml_chk': 1584, 'pwmr_chk': 1565, 'time_difference': 0.0}
{'latitude': 37.63322004, 'longitude': 127.07767008, 'heading': 95.9, 'velocity': 0.9, 'pwml_chk': 1586, 'pwmr_chk': 1563, 'time_difference': 0.2}
{'latitude': 37.63321992, 'longitude': 127.07767107, 'heading': 96.1, 'velocity': 0.9, 'pwml_chk': 1586, 'pwmr_chk': 1563, 'time_difference': 0.2}
{'latitude': 37.6332198, 'longitude': 127.07767205, 'heading': 96.1, 'velocity': 0.9, 'pwml_chk': 1586, 'pwmr_chk': 1563, 'time_difference': 0.2}
{'latitude': 37.63321961, 'longitude': 127.07767418, 'heading': 96.3, 'velocity': 0.9, 'pwml_chk': 1584, 'pwmr_chk': 1565, 'time_difference': 0.4}
{'latitude': 37.63321955, 'longitude': 127.0776753, 'heading': 96.8, 'velocity': 1.0, 'pwml_chk': 1583, 'pwmr_chk': 1566, 'time_difference': 0.2}
{'latitude': 37.63321942, 'longitude': 127.07767648, 'heading': 96.7, 'velocity': 1.0, 'pwml_chk': 1582, 'pwmr_chk': 1567, 'time_difference': 0.2}
{'latitude': 37.6332194, 'longitude': 127.07767759, 'heading': 97.3, 'velocity': 1.0, 'pwml_chk': 1582, 'pwmr_chk': 1567, 'time_difference': 0.2}
{'latitude': 37.63321926, 'longitude': 127.07767881, 'heading': 97.4, 'velocity': 1.0, 'pwml_chk': 1582, 'pwmr_chk': 1567, 'time_difference': 0.2}
{'latitude': 37.63321914, 'longitude': 127.07768003, 'heading': 97.4, 'velocity': 1.1, 'pwml_chk': 1582, 'pwmr_chk': 1567, 'time_difference': 0.2}
{'latitude': 37.63321897, 'longitude': 127.07768124, 'heading': 97.5, 'velocity': 1.0, 'pwml_chk': 1582, 'pwmr_chk': 1567, 'time_difference': 0.2}
{'latitude': 37.63321897, 'longitude': 127.07768124, 'heading': 97.5, 'velocity': 1.0, 'pwml_chk': 1582, 'pwmr_chk': 1567, 'time_difference': 0.0}
{'latitude': 37.63321886, 'longitude': 127.0776825, 'heading': 97.8, 'velocity': 1.1, 'pwml_chk': 1582, 'pwmr_chk': 1567, 'time_difference': 0.2}
{'latitude': 37.63321875, 'longitude': 127.07768377, 'heading': 97.8, 'velocity': 1.1, 'pwml_chk': 1575, 'pwmr_chk': 1574, 'time_difference': 0.2}
{'latitude': 37.63321855, 'longitude': 127.07768505, 'heading': 97.8, 'velocity': 1.1, 'pwml_chk': 1574, 'pwmr_chk': 1575, 'time_difference': 0.2}
{'latitude': 37.63321828, 'longitude': 127.07768776, 'heading': 98.1, 'velocity': 1.1, 'pwml_chk': 1574, 'pwmr_chk': 1575, 'time_difference': 0.4}
{'latitude': 37.63321814, 'longitude': 127.07768907, 'heading': 97.9, 'velocity': 1.2, 'pwml_chk': 1574, 'pwmr_chk': 1575, 'time_difference': 0.2}
{'latitude': 37.63321799, 'longitude': 127.07769042, 'heading': 97.7, 'velocity': 1.2, 'pwml_chk': 1572, 'pwmr_chk': 1577, 'time_difference': 0.2}
{'latitude': 37.6332178, 'longitude': 127.07769174, 'heading': 97.6, 'velocity': 1.2, 'pwml_chk': 1573, 'pwmr_chk': 1576, 'time_difference': 0.2}
{'latitude': 37.63321768, 'longitude': 127.07769299, 'heading': 97.6, 'velocity': 1.2, 'pwml_chk': 1575, 'pwmr_chk': 1574, 'time_difference': 0.2}
{'latitude': 37.63321751, 'longitude': 127.07769438, 'heading': 97.3, 'velocity': 1.2, 'pwml_chk': 1575, 'pwmr_chk': 1574, 'time_difference': 0.2}
{'latitude': 37.63321751, 'longitude': 127.07769438, 'heading': 97.3, 'velocity': 1.2, 'pwml_chk': 1575, 'pwmr_chk': 1574, 'time_difference': 0.0}
{'latitude': 37.63321725, 'longitude': 127.07769716, 'heading': 97.2, 'velocity': 1.3, 'pwml_chk': 1575, 'pwmr_chk': 1574, 'time_difference': 0.4}
{'latitude': 37.63321707, 'longitude': 127.07769848, 'heading': 96.8, 'velocity': 1.1, 'pwml_chk': 1577, 'pwmr_chk': 1572, 'time_difference': 0.2}
{'latitude': 37.63321693, 'longitude': 127.07769993, 'heading': 96.9, 'velocity': 1.3, 'pwml_chk': 1577, 'pwmr_chk': 1572, 'time_difference': 0.2}
{'latitude': 37.63321683, 'longitude': 127.0777013, 'heading': 96.9, 'velocity': 1.2, 'pwml_chk': 1579, 'pwmr_chk': 1570, 'time_difference': 0.2}
{'latitude': 37.63321664, 'longitude': 127.07770274, 'heading': 96.6, 'velocity': 1.3, 'pwml_chk': 1579, 'pwmr_chk': 1570, 'time_difference': 0.2}
{'latitude': 37.63321652, 'longitude': 127.07770414, 'heading': 96.7, 'velocity': 1.2, 'pwml_chk': 1579, 'pwmr_chk': 1570, 'time_difference': 0.2}
{'latitude': 37.63321638, 'longitude': 127.07770554, 'heading': 96.8, 'velocity': 1.2, 'pwml_chk': 1579, 'pwmr_chk': 1570, 'time_difference': 0.2}
{'latitude': 37.63321626, 'longitude': 127.077707, 'heading': 96.6, 'velocity': 1.3, 'pwml_chk': 1579, 'pwmr_chk': 1570, 'time_difference': 0.2}
{'latitude': 37.63321614, 'longitude': 127.07770834, 'heading': 96.8, 'velocity': 1.2, 'pwml_chk': 1579, 'pwmr_chk': 1570, 'time_difference': 0.2}
{'latitude': 37.63321603, 'longitude': 127.07770975, 'heading': 96.9, 'velocity': 1.3, 'pwml_chk': 1579, 'pwmr_chk': 1570, 'time_difference': 0.2}
{'latitude': 37.63321578, 'longitude': 127.07771259, 'heading': 96.6, 'velocity': 1.2, 'pwml_chk': 1579, 'pwmr_chk': 1570, 'time_difference': 0.4}
{'latitude': 37.63321565, 'longitude': 127.07771397, 'heading': 97.0, 'velocity': 1.2, 'pwml_chk': 1579, 'pwmr_chk': 1570, 'time_difference': 0.2}
{'latitude': 37.63321555, 'longitude': 127.07771545, 'heading': 96.9, 'velocity': 1.3, 'pwml_chk': 1581, 'pwmr_chk': 1568, 'time_difference': 0.2}
{'latitude': 37.6332154, 'longitude': 127.07771686, 'heading': 96.8, 'velocity': 1.2, 'pwml_chk': 1580, 'pwmr_chk': 1569, 'time_difference': 0.2}
{'latitude': 37.63321528, 'longitude': 127.07771831, 'heading': 97.1, 'velocity': 1.3, 'pwml_chk': 1580, 'pwmr_chk': 1569, 'time_difference': 0.2}
{'latitude': 37.63321513, 'longitude': 127.07771975, 'heading': 97.2, 'velocity': 1.2, 'pwml_chk': 1580, 'pwmr_chk': 1569, 'time_difference': 0.2}
{'latitude': 37.63321502, 'longitude': 127.07772117, 'heading': 97.1, 'velocity': 1.2, 'pwml_chk': 1580, 'pwmr_chk': 1569, 'time_difference': 0.2}
{'latitude': 37.63321485, 'longitude': 127.07772261, 'heading': 97.1, 'velocity': 1.3, 'pwml_chk': 1579, 'pwmr_chk': 1570, 'time_difference': 0.2}
{'latitude': 37.63321485, 'longitude': 127.07772261, 'heading': 97.1, 'velocity': 1.3, 'pwml_chk': 1580, 'pwmr_chk': 1569, 'time_difference': 0.0}
{'latitude': 37.63321458, 'longitude': 127.07772545, 'heading': 97.0, 'velocity': 1.2, 'pwml_chk': 1580, 'pwmr_chk': 1569, 'time_difference': 0.4}
{'latitude': 37.63321447, 'longitude': 127.0777269, 'heading': 97.1, 'velocity': 1.2, 'pwml_chk': 1580, 'pwmr_chk': 1569, 'time_difference': 0.2}
{'latitude': 37.63321431, 'longitude': 127.07772829, 'heading': 97.1, 'velocity': 1.2, 'pwml_chk': 1581, 'pwmr_chk': 1568, 'time_difference': 0.2}
{'latitude': 37.63321414, 'longitude': 127.07772977, 'heading': 96.9, 'velocity': 1.3, 'pwml_chk': 1580, 'pwmr_chk': 1569, 'time_difference': 0.2}
{'latitude': 37.63321401, 'longitude': 127.07773118, 'heading': 97.1, 'velocity': 1.2, 'pwml_chk': 1580, 'pwmr_chk': 1569, 'time_difference': 0.2}
{'latitude': 37.63321385, 'longitude': 127.07773264, 'heading': 97.2, 'velocity': 1.3, 'pwml_chk': 1581, 'pwmr_chk': 1568, 'time_difference': 0.2}
{'latitude': 37.6332137, 'longitude': 127.07773406, 'heading': 97.1, 'velocity': 1.2, 'pwml_chk': 1581, 'pwmr_chk': 1568, 'time_difference': 0.2}
{'latitude': 37.63321356, 'longitude': 127.07773548, 'heading': 97.4, 'velocity': 1.2, 'pwml_chk': 1581, 'pwmr_chk': 1568, 'time_difference': 0.2}
{'latitude': 37.63321342, 'longitude': 127.07773691, 'heading': 97.6, 'velocity': 1.3, 'pwml_chk': 1580, 'pwmr_chk': 1569, 'time_difference': 0.2}
{'latitude': 37.63321327, 'longitude': 127.07773833, 'heading': 97.7, 'velocity': 1.3, 'pwml_chk': 1581, 'pwmr_chk': 1568, 'time_difference': 0.2}
{'latitude': 37.63321327, 'longitude': 127.07773833, 'heading': 97.7, 'velocity': 1.3, 'pwml_chk': 1581, 'pwmr_chk': 1568, 'time_difference': 0.0}
{'latitude': 37.63321296, 'longitude': 127.07774114, 'heading': 98.1, 'velocity': 1.3, 'pwml_chk': 1581, 'pwmr_chk': 1568, 'time_difference': 0.4}
{'latitude': 37.63321278, 'longitude': 127.07774256, 'heading': 98.4, 'velocity': 1.3, 'pwml_chk': 1581, 'pwmr_chk': 1568, 'time_difference': 0.2}
{'latitude': 37.6332126, 'longitude': 127.07774398, 'heading': 98.5, 'velocity': 1.2, 'pwml_chk': 1581, 'pwmr_chk': 1568, 'time_difference': 0.2}
{'latitude': 37.63321238, 'longitude': 127.0777454, 'heading': 98.7, 'velocity': 1.2, 'pwml_chk': 1577, 'pwmr_chk': 1572, 'time_difference': 0.2}
{'latitude': 37.63321224, 'longitude': 127.07774683, 'heading': 99.0, 'velocity': 1.3, 'pwml_chk': 1577, 'pwmr_chk': 1572, 'time_difference': 0.2}
{'latitude': 37.63321183, 'longitude': 127.07774969, 'heading': 99.6, 'velocity': 1.3, 'pwml_chk': 1577, 'pwmr_chk': 1572, 'time_difference': 0.4}
{'latitude': 37.63321162, 'longitude': 127.07775112, 'heading': 99.7, 'velocity': 1.3, 'pwml_chk': 1576, 'pwmr_chk': 1573, 'time_difference': 0.2}
{'latitude': 37.63321162, 'longitude': 127.07775112, 'heading': 99.7, 'velocity': 1.3, 'pwml_chk': 1575, 'pwmr_chk': 1574, 'time_difference': 0.0}
{'latitude': 37.63321138, 'longitude': 127.07775254, 'heading': 99.7, 'velocity': 1.2, 'pwml_chk': 1575, 'pwmr_chk': 1574, 'time_difference': 0.2}
{'latitude': 37.63321118, 'longitude': 127.07775396, 'heading': 100.0, 'velocity': 1.2, 'pwml_chk': 1575, 'pwmr_chk': 1574, 'time_difference': 0.2}
{'latitude': 37.63321095, 'longitude': 127.07775537, 'heading': 99.9, 'velocity': 1.2, 'pwml_chk': 1575, 'pwmr_chk': 1574, 'time_difference': 0.2}
{'latitude': 37.63321071, 'longitude': 127.07775676, 'heading': 99.9, 'velocity': 1.2, 'pwml_chk': 1574, 'pwmr_chk': 1575, 'time_difference': 0.2}
{'latitude': 37.63321051, 'longitude': 127.0777582, 'heading': 100.2, 'velocity': 1.3, 'pwml_chk': 1574, 'pwmr_chk': 1575, 'time_difference': 0.2}
{'latitude': 37.63321026, 'longitude': 127.07775964, 'heading': 100.2, 'velocity': 1.2, 'pwml_chk': 1574, 'pwmr_chk': 1575, 'time_difference': 0.2}
{'latitude': 37.63321002, 'longitude': 127.07776105, 'heading': 100.3, 'velocity': 1.3, 'pwml_chk': 1574, 'pwmr_chk': 1575, 'time_difference': 0.2}
{'latitude': 37.63320979, 'longitude': 127.07776247, 'heading': 100.3, 'velocity': 1.2, 'pwml_chk': 1574, 'pwmr_chk': 1575, 'time_difference': 0.2}
{'latitude': 37.63320959, 'longitude': 127.07776386, 'heading': 100.4, 'velocity': 1.2, 'pwml_chk': 1574, 'pwmr_chk': 1575, 'time_difference': 0.2}
{'latitude': 37.63320909, 'longitude': 127.07776669, 'heading': 100.3, 'velocity': 1.3, 'pwml_chk': 1574, 'pwmr_chk': 1575, 'time_difference': 0.4}
{'latitude': 37.63320909, 'longitude': 127.07776669, 'heading': 100.3, 'velocity': 1.3, 'pwml_chk': 1574, 'pwmr_chk': 1575, 'time_difference': 0.0}
{'latitude': 37.63320886, 'longitude': 127.07776805, 'heading': 100.3, 'velocity': 1.2, 'pwml_chk': 1574, 'pwmr_chk': 1575, 'time_difference': 0.2}
{'latitude': 37.63320863, 'longitude': 127.07776948, 'heading': 100.3, 'velocity': 1.2, 'pwml_chk': 1574, 'pwmr_chk': 1575, 'time_difference': 0.2}
{'latitude': 37.63320841, 'longitude': 127.07777086, 'heading': 100.3, 'velocity': 1.2, 'pwml_chk': 1574, 'pwmr_chk': 1575, 'time_difference': 0.2}
{'latitude': 37.6332082, 'longitude': 127.07777226, 'heading': 100.1, 'velocity': 1.2, 'pwml_chk': 1574, 'pwmr_chk': 1575, 'time_difference': 0.2}
{'latitude': 37.63320798, 'longitude': 127.07777367, 'heading': 100.2, 'velocity': 1.2, 'pwml_chk': 1574, 'pwmr_chk': 1575, 'time_difference': 0.2}
{'latitude': 37.63320775, 'longitude': 127.07777509, 'heading': 100.0, 'velocity': 1.3, 'pwml_chk': 1574, 'pwmr_chk': 1575, 'time_difference': 0.2}
{'latitude': 37.63320752, 'longitude': 127.0777765, 'heading': 99.7, 'velocity': 1.2, 'pwml_chk': 1574, 'pwmr_chk': 1575, 'time_difference': 0.2}
{'latitude': 37.63320735, 'longitude': 127.07777794, 'heading': 99.9, 'velocity': 1.3, 'pwml_chk': 1574, 'pwmr_chk': 1575, 'time_difference': 0.2}
